_id,id,description,company,deleted,deletedAt,updatedAt,createdAt,__v
65e723c0d3ddf3ae55b114e1,146,BR000146 - RETENÇAO MKT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e2,147,BR000147 - SUPORTE MKT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e3,148,BR000148 - RETENÇAO E SUPORTE VP,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e4,149,BR000149 - SUPORTE PPC,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e5,150,BR000150 - SUPORTE COML,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e6,151,BR000151 - SUPORTE PMO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e7,152,BR000152 - RETENÇÃO PPC,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e8,153,BR000153 - ESTRATÉGIA SEGMENTOS I,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114e9,154,BR000154 - INTELIGÊNCIA DE MERCADO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ea,155,BR000155 - ESTRATÉGIA SEGMENTOS II,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114eb,156,BR000156 - SERVIÇOS RH-GESTAO ESTRATÉGICA DE SAÚDE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ec,157,BR000157 - GESTÃO DE TALENTOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ed,188,BR000188 - STOCK OPTIONS IT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ee,189,BR000189 - STOCK OPTIONS SUPPLY CHAIN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ef,190,BR000190 - STOCK OPTIONS LEGAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f0,191,BR000191 - STOCK OPTIONS GEOGRAPHIC,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f1,192,BR000192 - STOCK OPTIONS SERVICE OPERATIONS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f2,193,BR000193 - STOCK OPTIONS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f3,194,BR000194 - STOCK OPTIONS HUMAN RESOURCES,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f4,195,BR000195 - STOCK OPTIONS FUNCTION FINANCE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f5,196,BR000196 - STOCK OPTION HEALTHCARE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f6,197,BR000197 - STOCK OPTION CORPORATE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f7,198,BR000198 - STOCK OPTION STRATEGY,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f8,199,BR000199 - STOCK OPTIONS E&R MINING,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114f9,200,BR000200 - PRESIDÊNCIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114fa,201,BR000201 - EVENTO INVENT 2020,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114fb,202,BR000202 - AUDITORIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114fc,203,BR000203 - GERÊNCIA DE DESENVOLVIMENTO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114fd,204,BR000204 - SEGURANCA DA INFORMACAO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114fe,205,BR000205 - GERENCIA DE PROJETOS,5df7d4b2a5161d3a0e587dc9,,,,,
